"","job_skills","count"
"514","random forest",21
"515","regression analysis",21
"516","rest",21
"517","sklearn",21
"518","spotfire",21
"519","statistical programming",21
"520","wan optimization devices",21
"521","api gateway",20
"522","artificial intelligence (ai)",20
"523","big data analytics",20
"524","big query",20
"525","business objects",20
"526","cable management",20
"527","design",20
"528","ecommerce",20
"529","grafana",20
"530","information retrieval",20
"531","javascript (d3)",20
"532","math",20
"533","microsoft word",20
"534","personalization",20
"535","planning",20
"536","plotly",20
"537","python (matplotlib seaborn bokeh etc.)",20
"538","report writing",20
"539","reporting tools",20
"540","reports",20
"541","applied mathematics",19
"542","aws lambda",19
"543","aws rds",19
"544","cisa",19
"545","cognos",19
"546","custom integrations",19
"547","custom modules",19
"548","data aggregation",19
"549","data consistency",19
"550","data frameworks",19
"551","data ops",19
"552","database",19
"553","debugging",19
"554","delta lake",19
"555","linear algebra",19
"556","mathematical modeling",19
"557","microsoft fabric",19
"558","model validation",19
"559","ms office",19
"560","oltp",19
"561","performance",19
"562","remote sensing",19
"563","san fabric switches",19
"564","solution consulting",19
"565","spark 2.4",19
"566","streamlit",19
"567","technical documentation",19
"568","unix/linux",19
"569","virtual assistants",19
"570","accounting",18
"571","amazon web services (aws)",18
"572","azure sql",18
"573","backup",18
"574","chatbots & virtual assistants",18
"575","collaboration skills",18
"576","customer segmentation",18
"577","data marts",18
"578","datadriven decisionmaking",18
"579","dimensional modeling",18
"580","extensions",18
"581","f4s work style assessment",18
"582","flume",18
"583","frameworks",18
"584","gcp bigquery",18
"585","implementation",18
"586","integration testing",18
"587","jupyter notebook",18
"588","langchain",18
"589","microsoft",18
"590","ml data ops",18
"591","mvt testing",18
"592","network dlp",18
"593","powerapps",18
"594","predictive maintenance",18
"595","r programming",18
"596","report generation",18
"597","rest api",18
"598","rest apis",18
"599","retention",18
"600","saas",18
"601","sqoop",18
"602","star schema",18
"603","vector databases",18
"604","web analytics",18
"605","accuracy",17
"606","aws cloud",17
"607","aws s3",17
"608","breakfix",17
"609","c/c++",17
"610","computer engineering",17
"611","datadriven insights",17
"612","diversity",17
"613","flexibility",17
"614","functions",17
"615","gcp dataflow",17
"616","legal compliance",17
"617","marketing measurement",17
"618","metadata",17
"619","metadata management",17
"620","metrics",17
"621","optimization algorithms",17
"622","rack and stack",17
"623","risk assessment",17
"624","scikit learn",17
"625","servers",17
"626","software design",17
"627","statistical software",17
"628","thoughtspot",17
"629","trino",17
"630","web scraping",17
"631","amazon web services",16
"632","attribution modeling",16
"633","automation tools",16
"634","chatbots",16
"635","code reviews",16
"636","compliance",16
"637","dash",16
"638","dashboarding",16
"639","data analyst",16
"640","data bricks",16
"641","data communication",16
"642","data conversion",16
"643","data lake medallion architecture",16
"644","data retrieval",16
"645","datadriven solutions",16
"646","dremio",16
"647","feature selection",16
"648","fivetran",16
"649","google",16
"650","greenplum",16
"651","huggingface",16
"652","infrastructure",16
"653","initiative",16
"654","jazzhr",16
"655","molecular biology",16
"656","node.js",16
"657","opensearch",16
"658","organization",16
"659","performance optimization",16
"660","pgpl/sql",16
"661","power distribution units",16
"662","power query",16
"663","proxy",16
"664","purview",16
"665","regulatory compliance",16
"666","relational database",16
"667","seo",16
"668","signal processing",16
"669","stakeholder engagement",16
"670","statistical inference",16
"671","tdd",16
"672","algorithm development",15
"673","aws cloud practitioner",15
"674","azure cloud",15
